0.00066,0.00000,0.00146,0.00127,0.00383,0.00420,0.00309,0.00254,0.00520,0.00667,0.00523,0.01478,0.01381,0.04377,0.04637,0.05997,0.14575,0.12164,0.17131,0.15679,0.20596,0.09873,0.08280,0.03864,0.02808,0.01783,0.00690,0.00556,0.00165,0.00152,0.00070,0.00000
0.00330,0.00304,0.00146,0.00593,0.01581,0.00699,0.00502,0.00551,0.00855,0.01954,0.02265,0.02193,0.03222,0.02286,0.03442,0.02936,0.03310,0.04055,0.03227,0.05010,0.06809,0.09367,0.09594,0.13182,0.09032,0.10197,0.05761,0.03776,0.04156,0.04941,0.04474,0.06220
0.01685,0.01063,0.00511,0.00424,0.00479,0.00746,0.00695,0.00593,0.00967,0.00810,0.00610,0.01096,0.01757,0.02529,0.02725,0.04467,0.07806,0.06868,0.06175,0.07916,0.10553,0.11730,0.08639,0.09273,0.11461,0.10425,0.05761,0.03219,0.02675,0.01824,0.01049,0.01386
0.02445,0.04630,0.03721,0.04112,0.07858,0.06014,0.04284,0.05765,0.03420,0.03670,0.02221,0.02002,0.01799,0.02237,0.02725,0.01944,0.01927,0.01903,0.01833,0.03021,0.04894,0.08270,0.09037,0.10545,0.07590,0.07362,0.04868,0.03498,0.01152,0.01368,0.00874,0.01420
0.05750,0.06414,0.02189,0.04070,0.05989,0.03730,0.02084,0.02459,0.01673,0.01430,0.00958,0.01287,0.00753,0.01751,0.01004,0.01075,0.00840,0.00993,0.01116,0.01721,0.02213,0.02658,0.02747,0.03864,0.02694,0.03201,0.04909,0.05405,0.06502,0.07716,0.12094,0.18289
0.00793,0.03491,0.06129,0.08097,0.09439,0.08718,0.06407,0.08266,0.05911,0.06101,0.03789,0.05052,0.05021,0.04815,0.04637,0.04797,0.05484,0.03682,0.03586,0.02830,0.02851,0.03122,0.02707,0.02864,0.02125,0.02515,0.01866,0.02027,0.01481,0.01064,0.00629,0.00406
0.02280,0.04744,0.05071,0.05129,0.05367,0.06154,0.06561,0.07842,0.08030,0.09342,0.07012,0.07769,0.06234,0.07198,0.07027,0.06782,0.07016,0.04386,0.03625,0.01950,0.01872,0.01983,0.00916,0.00500,0.01101,0.00960,0.00690,0.00517,0.00576,0.00494,0.00699,0.01048
0.00264,0.00683,0.00730,0.01102,0.02396,0.02797,0.02779,0.04578,0.04015,0.06196,0.06185,0.07769,0.07741,0.08463,0.05784,0.04384,0.05040,0.03724,0.03745,0.03748,0.04085,0.04810,0.04459,0.03682,0.02846,0.03749,0.03489,0.04809,0.06543,0.06233,0.02482,0.01149
0.02016,0.03719,0.08391,0.09919,0.09391,0.08298,0.05673,0.06401,0.05204,0.06339,0.06054,0.06196,0.05439,0.06323,0.04876,0.03846,0.05682,0.04758,0.03546,0.02945,0.01872,0.01814,0.01194,0.01273,0.00683,0.01189,0.01258,0.01590,0.01399,0.01482,0.01293,0.00406
0.22703,0.05882,0.03612,0.04239,0.05510,0.04569,0.03705,0.04663,0.03494,0.04099,0.03833,0.03098,0.02510,0.03307,0.03394,0.02399,0.03360,0.02441,0.02072,0.01759,0.02340,0.02405,0.01553,0.02455,0.02011,0.02423,0.02556,0.01868,0.02716,0.02737,0.02656,0.05409
0.02181,0.04402,0.04487,0.03052,0.01533,0.00886,0.01274,0.01950,0.02677,0.02574,0.02918,0.04147,0.03556,0.03648,0.04350,0.03722,0.04941,0.04841,0.04303,0.04283,0.06426,0.07468,0.06170,0.09773,0.06072,0.05578,0.06085,0.05366,0.04033,0.04333,0.00804,0.00169
0.05519,0.01822,0.02736,0.03052,0.03115,0.03590,0.04477,0.03476,0.03309,0.05338,0.05575,0.05863,0.04017,0.05739,0.05784,0.04508,0.05287,0.05048,0.04821,0.04092,0.05191,0.08017,0.04140,0.03864,0.03643,0.04298,0.03245,0.02424,0.03004,0.01938,0.01223,0.00811
0.01157,0.02049,0.01423,0.02077,0.02683,0.02424,0.02161,0.02543,0.03717,0.04528,0.08145,0.11249,0.10837,0.12062,0.07935,0.08685,0.10375,0.05585,0.05139,0.04895,0.05745,0.05738,0.03105,0.02682,0.01860,0.02378,0.00974,0.00715,0.00453,0.00038,0.00070,0.00034
